func_name,qwen3-4B_ires,qwen3-8B_ires,doubao-embedding-vision-251215_ires
SquareRegularClustersIntoGrids.checkNumberOfConnections,0.740339296,0.794177254,0.693773085
DatasetUrl.getProtocols,0.894497032,0.878865659,0.722727236
AmbiguityLibrary.init,0.977440316,0.976179377,0.954556062
WriterFactory.createWriter,0.904448425,0.916563752,0.815106861
CounterMap.isEmpty,0.885659902,0.79055142,0.863373826
CmsLockManager.internalSiblingLock,0.954750111,0.947002387,0.876492637
EstimateSceneCalibrated.addTriangulatedStereoFeatures,0.949801567,0.925203409,0.89210597
HadoopJob.getStatus,0.860203017,0.892743273,0.790613955
ZapHeadMethod.readResponseBody,0.93247988,0.939088759,0.895966234
GridGenerator.getCoordinatesFromGridPoint,0.938124908,0.937414115,0.914499046
TransliteratorIDParser.specsToSpecialInverse,0.888998929,0.917122282,0.824934735
ParquetRecordReader.seek,0.879682291,0.85683073,0.813835311
InMemoryCookieStore.addIndex,0.956197769,0.95899583,0.904724995
A_CmsTreeTabDataPreloader.getCommonSite,0.878771614,0.891057295,0.847682364
MigrationManager.sendShutdownOperation,0.821813407,0.843946473,0.815146682
QrCodePreciseDetector.setLensDistortion,0.943453827,0.966512073,0.904294715
HeaderInputStream.read,0.821437243,0.780181024,0.693099092
RaftNodeImpl.registerFuture,0.941118505,0.947517523,0.820211455
HarFileSystem.makeRelative,0.851588153,0.849093282,0.718421013
BlocksMap.addINodeForLoading,0.908817312,0.921063943,0.892575615
ExtensionSpider.getTargetUriOutOfScope,0.909853483,0.878119179,0.804574797
EvaluateSilhouette.evaluateClustering,0.923375373,0.9108111,0.771295371
StructureDiagramGenerator.getRingAtom,0.950707652,0.943783229,0.896382007
LinuxTaskController.initializeJob,0.921444083,0.933455483,0.898510172
DerInputStream.readString,0.994416756,0.990984613,0.966756267
CmsUserInfoDialog.getStatusForItem,0.958273088,0.980751763,0.919618561
SDBaseOps.matchConditionCount,0.999834666,0.999874299,0.998240097
ExtensionHelp.getHelpIcon,0.999825086,0.999886391,0.998182615
TimSort.countRunAndMakeAscending,0.999922091,0.999893978,1
DesktopUtil.browse,0.935794146,0.969450299,0.913765151
FlexibleLOF.computeLOFs,0.906460605,0.931577144,0.869429957
UtilWavelet.borderForwardLower,0.94259184,0.905693276,0.879759054
ClassNode.getField,0.964685739,0.972356305,0.936132402
ClassTree.allSubs,0.896773666,0.862001645,0.820933074
DocTreeMaker.defaultSentenceBreak,0.926995832,0.915850704,0.813369211
HttpUtil.decodeParams,0.972148099,0.983373191,0.965762731
Security.getSpiClass,0.968409366,0.963425531,0.929801602
BaseDistribution.inverseCumulativeProbability,0.903062993,0.914492346,0.817030249
DeltaIteration.parallelism,0.990796731,0.995741992,0.983953626
Selector.getCorrectedReceiver,0.900927288,0.870647097,0.758889265
TaskListenerManager.notifyTaskStart,0.941021898,0.945301682,0.831900575
SpiderParam.setParseRobotsTxt,0.997282137,0.998439812,0.99623751
ExtensionParams.removeSessionToken,1,0.999911179,0.998818066
CDKSubGraphHandler.set,0.999881617,0.99993141,0.999434905
CmsRelationFilter.filterWeak,0.999894075,0.999943022,0.998217896
NFRuleSet.format,0.922784542,0.947240169,0.845707059
AbstractFullProjection.projectScaledToDataSpace,0.995938276,0.998883388,0.995323519
PartitionStateManager.initializePartitionAssignments,0.8794408,0.859909169,0.778186813
CmsSearchControllerFacetRange.addFacetPart,0.894044981,0.890650659,0.831097127
SimpleCamera2Activity.displayDensityAdjusted,0.821197981,0.831879748,0.730824127
SimpleCache.remove,0.999898817,1,0.998833708
KeyUtil.getSecretKeyFactory,0.975121274,0.980553324,0.972602822
CmsBasicDialog.createResourceListPanelDirectly,0.925837426,0.938821725,0.906690763
JavacState.taintPackage,0.906466327,0.832083794,0.780779185
ChessboardCornerClusterFinder.growCluster,0.725966311,0.764390734,0.619078131
HashSlotArrayBase.ensure0,0.874472724,0.917038574,0.79789437
ServerSocket.getSoTimeout,0.987558798,0.984210792,0.971156191
CoronaClient.killSession,0.902143441,0.884690291,0.817502095
MemberGroupConfig.setInterfaces,0.989933078,0.988938922,0.975235892
NestedSerializersSnapshotDelegate.readNestedSerializerSnapshots,0.822429119,0.950645794,0.87874525
CmsAttributeValueView.setCompactMode,0.897596789,0.917861411,0.805558754
