func_name,sample_id,qwen3-4B_ires,qwen3-8B_ires,doubao-embedding-vision-251215_ires
MessageInfo.parseType,5,0.9131375426293096,0.8995063907933016,0.7647501502285976
StereoElementFactory.interpretProjections,13,0.8379530256644562,0.8969103531612348,0.8198512623302309
GridVariable.showMissingSummary,67,0.9159398507553762,0.8976026589881093,0.7885079704634297
RangeDateSelector.synchUI,1,0.9015316872248763,0.9235352387587678,0.8717558595710367
MetaClassImpl.getMethods,33,0.9539422792937212,0.9573081793580965,0.8807404864012272
TextWriter.output,32,0.8388112057522087,0.8611740928645655,0.6754864491502339
CmsSearchTab.removeParameter,28,0.9748154145589559,0.9773599235647316,0.9361935775951081
EigenvalueDecomposition.getD,52,0.9068014700244726,0.9474104706751855,0.906152979425336
Calendar.getPatternData,6,0.9380638098034622,0.9631535801397632,0.9181641054523036
Types.TUPLE,43,0.9406751066178374,0.9453742858399539,0.9010193182363397
GammaDistribution.chisquaredProbitApproximation,57,0.8316124282769735,0.9079941777888043,0.773529496345329
HBondAcceptorCountDescriptor.calculate,39,0.9578986180357232,0.9620817809624209,0.9226066716873181
SubWriterHolderWriter.addMemberTree,80,0.9762590715472419,0.9786971986046774,0.9600131385973101
Main.error,77,0.8403337790224992,0.8454954274447363,0.8358919302468012
RemoteEnvironment.execute,59,0.9788561706235936,0.9710063412114533,0.9210796891480171
Broker.getAndRemove,92,0.9111926403457306,0.952502000518522,0.8810205457547163
AtomicAllocator.getConfiguration,79,0.9998911026148021,0.9998533419515151,0.9988674019110402
HashUtil.bernstein,3,0.9945536834044266,0.9965797792967753,0.9914367191540013
NFAStateSerializer.serializeComputationStates,78,0.9949099156279491,0.9952160296041186,0.9882762571656049
ClassWriter.writeInnerClasses,70,0.9352029103880419,0.9490867693130591,0.8533711731669495
StructureDiagramGenerator.placeSgroupBrackets,61,0.9262411263173448,0.9510495140798118,0.8686373185988855
ExampleLineDetection.detectLineSegments,72,0.9772875616685933,0.9775123555615244,0.902873510167667
FileAppender.append,90,0.8862681029983717,0.9024602765991648,0.8169387363961869
AbstractMTreeNode.integrityCheck,65,0.9163881154283634,0.8996759996693948,0.7569298072328873
GIntegralImageOps.convolve,88,0.9919230251201827,0.9945268996007531,0.9793810835132949
RestApiConfig.disableGroups,94,0.9999161338531438,1.0,0.9985707310858956
StaticTypeCheckingVisitor.checkOrMarkPrivateAccess,10,0.8378644419878112,0.844833824766013,0.8475422936234202
UrlResource.readStr,11,0.7999685009390043,0.8441403405382111,0.7748752651807294
CacheSimpleConfig.setCacheWriterFactory,64,0.9952528141798512,0.9952278948592391,0.9896020936687848
VariableScopeVisitor.pushState,89,0.922653216028877,0.9304354863855078,0.9056229415594726
GeneralizedLogisticAlternateDistribution.pdf,58,0.9207547488261629,0.8956258564937013,0.836937559167822
Security.getProviderProperty,107,0.7831689641360492,0.8327330192094345,0.7421668260856175
QueueContainer.txnCommitPollBackup,20,0.8545130834373302,0.8877949074483475,0.840994862375001
Selector.getSelector,51,0.9329315724408053,0.9418419673065177,0.8924741002221003
MarkedElement.markupMol,82,0.9998556472566834,0.9999011506941561,1.0
SMARTSAtomInvariants.configureDaylightWithRingInfo,71,0.99992404465759,0.9998897180587303,0.9974943714160925
SparkEMRClient.createCluster,37,0.8361045223115963,0.8009956558224479,0.7629743145754367
FactoryMultiView.bundleSparseMetric,115,0.9562606779375972,0.9436607765690791,0.8640532071679236
MatchOps.makeRef,104,0.9961887447267525,0.998102452874542,0.9952399147872301
