func_name,sample_id,k0_ires,k1_ires,k2_ires,k3_ires,k4_ires,k5_ires,k6_ires,k7_ires,k8_ires,k9_ires,k10_ires
NioGroovyMethods.write,74,0.9372307073453261,0.9294490218162537,0.9377030730247498,0.9005351244795605,0.9369994401931763,0.9166518449783325,0.9364508390426636,0.9287573099136353,0.9166662693023682,0.9166662693023682,0.9259425401687622
HBondAcceptorCountDescriptor.calculate,39,0.9530197442859384,0.9382251501083374,0.9416825175285339,0.9620817809624209,0.9449816942214966,0.9399147033691406,0.9383270740509033,0.9486389756202698,0.9548253417015076,0.960361123085022,0.9497324824333191
RingbufferService.getOrCreateContainer,83,0.8745845090903639,0.8867276310920715,0.874815821647644,0.8823212814532755,0.8707336187362671,0.8875937461853027,0.8776099681854248,0.8921473026275635,0.881197452545166,0.8765491247177124,0.8799304962158203
XLogPDescriptor.getDoubleBondedNitrogenCount,103,0.9161637647159137,0.9871973395347595,0.9634232521057129,0.9875209957695602,0.9878556728363037,0.9875919222831726,0.9880036115646362,0.9879792332649231,0.9875919222831726,0.9875919222831726,0.9875919222831726
ClassWriter.writeInnerClasses,70,0.8795762404425339,0.937285840511322,0.9458624720573425,0.9490867693130591,0.9668896794319153,0.9483156800270081,0.9505655169487,0.9733872413635254,0.9725743532180786,0.9724869132041931,0.9729941487312317
DiSHPreferenceVectorIndex.determinePreferenceVectorByMaxIntersection,19,0.8218125707854723,0.9182277917861938,0.9138239026069641,0.9377083504643123,0.9330492615699768,0.9124161601066589,0.9383679628372192,0.9363942742347717,0.9035720825195312,0.9427847266197205,0.9383065700531006
HttpSessionsPanel.setSessionsTableColumnSizes,87,0.9499878431372755,0.9495980739593506,0.9613710045814514,0.9595036999151375,0.9607704877853394,0.9600512981414795,0.9600512981414795,0.9965436458587646,0.9969167113304138,0.9579840898513794,0.9969167113304138
AvatarNode.getProtocolVersion,112,0.9895725346839379,0.9900376796722412,0.9900587797164917,0.9902605038884827,0.9897697567939758,0.9900082945823669,0.989983856678009,0.9900587797164917,0.9900587797164917,0.9900082945823669,0.9900587797164917
FileReader.checkFile,113,0.9368182678682251,0.982243001461029,0.8390311598777771,0.8547482786421249,0.8229699730873108,0.7932014465332031,0.8229022026062012,0.7922878861427307,0.7932014465332031,0.8921499848365784,0.7932014465332031
FactoryMultiView.bundleSparseMetric,115,0.8667078399843977,0.9525294303894043,0.9385818839073181,0.9436607765690791,0.9530056118965149,0.9288285970687866,0.9530056118965149,0.9530056118965149,0.9529246687889099,0.9482485055923462,0.9529246687889099
CmsDialogElements.computeElements,55,0.9402135144718807,0.9433327913284302,0.9196962118148804,0.9212523234485257,0.9388633370399475,0.9380588531494141,0.946566104888916,0.9203324913978577,0.941504955291748,0.9326717853546143,0.9431413412094116
MetadataType.getType,120,0.902319782093262,0.844534158706665,0.9716749787330627,0.9760852659162506,0.9761303663253784,0.9763556122779846,0.9761303663253784,0.9761303663253784,0.9763556122779846,0.9763556122779846,0.9763556122779846
MDLV3000Reader.readBondBlock,9,0.8704476260295477,0.8905394673347473,0.915203332901001,0.9165805308587522,0.9449741244316101,0.9401358366012573,0.9198766946792603,0.9438918232917786,0.9470158219337463,0.9475633502006531,0.9383925795555115
