func_name,\texttt{R2E}$_{\text{C1}}$,\texttt{R2E}$_{\text{C3}}$,\texttt{R2E}$_{\text{C4}}$,\texttt{R2E}$_{\text{C5}}$,\texttt{R2E}$_{\text{C6}}$,\texttt{R2E}$_{\text{C7}}$,\texttt{R2E}$_{\text{C8}}$,\texttt{R2E}$_{\text{C9}}$,\texttt{R2E}$_{\text{C2}}$
FormatUtil.appendSpace,0.932427912,0.942000339,0.927204353,0.933869679,0.972037736,0.936467983,0.938052122,0.999905084,0.93696237
DesktopUtil.browse,0.980103097,0.969220801,0.980036453,0.97945972,0.969450299,0.969637597,0.968619939,0.979697537,0.969637597
ServerSocket.getSoTimeout,0.98408414,0.98360853,0.983781564,0.983308224,0.984210792,0.982919944,0.983547113,0.983680304,0.983315077
CmsAttributeValueView.setCompactMode,0.788553923,0.849436714,0.837288908,0.866320902,0.917861411,0.903823998,0.918703345,0.85215584,0.843498488
SubWriterHolderWriter.addInheritedMemberSummary,0.947105684,0.993226625,0.993125017,0.993125017,0.993248083,0.993147605,0.993125017,0.99291529,0.993475771
MemberGroupConfig.setInterfaces,0.988829707,0.988942945,0.989179634,0.98878553,0.988938922,0.989086385,0.988829707,0.989201612,0.988784307
ChemModelManipulator.getRelevantAtomContainer,0.910721025,0.937324742,0.936983027,0.937015819,0.937173067,0.937032466,0.937063916,0.937533686,0.937243144
LoggingUtil.message,0.999910899,0.999885119,0.999884929,0.999875153,0.999911758,0.997227992,0.999858035,0.99987235,0.999907839
GridHorizCoordSys.addGDSparams,0.758151543,0.870910173,0.863379177,0.871388338,0.867556267,0.834352773,0.926115942,0.897605426,0.855935305
BaseDistribution.inverseCumulativeProbability,0.865978916,0.878143024,0.938714182,0.935955108,0.914492346,0.913274157,0.935380628,0.922666933,0.939566721
SpiderParam.setParseRobotsTxt,0.999918565,0.998430337,0.999909736,1,0.998439812,0.999825869,0.999918565,1,1
NFRuleSet.format,0.76758114,0.908685647,0.906988985,0.877576315,0.947240169,0.907039646,0.908943434,0.940946271,0.908945608
DebugAminoAcid.getBondNumber,0.901223767,0.950985828,0.902174236,0.951309919,0.950985828,0.886172835,0.950762453,0.900756159,0.950756339
ClassNode.getField,0.758737651,0.968979031,0.96940303,0.969418217,0.972356305,0.969190459,0.970786187,0.969355376,0.97200655
ExtensionHelp.getHelpIcon,0.647607053,0.951705726,0.829488573,0.642036422,0.999886391,0.951782084,0.947876859,0.966315629,0.952106242
ErrorResponse.buildException,0.672985375,0.795903555,0.815697766,0.794991046,0.731478575,0.860341472,0.877198564,0.746675128,0.776233774
CoronaClient.killSession,0.862579804,0.941834956,0.926361143,0.881315086,0.884690291,0.887626675,0.884873782,0.885795741,0.941750324
CmsBasicDialog.createResourceListPanelDirectly,0.920174616,0.92963152,0.914705513,0.926183163,0.938821725,0.914914885,0.930490484,0.92875221,0.929831836
CLIQUEUnit.join,0.862008108,0.903606919,0.857396786,0.905916341,0.765951289,0.878951012,0.910145683,0.877827364,0.878813803
NioGroovyMethods.append,0.989816591,0.989983814,0.989874259,0.989911235,0.950947629,0.914078198,0.990112156,0.950668563,0.951392909
Integer.numberOfLeadingZeros,0.999908852,0.999934293,0.999912893,0.999917634,0.999894772,0.999917634,0.999910582,1,0.999901751
DFSUtil.getInfoServer,0.88858193,0.91851576,0.942227314,0.933699132,0.923516413,0.94010818,0.944717601,0.925271395,0.950267423
CheckpointListener.availableCheckpoints,0.863461279,0.858571765,0.858518192,0.862793327,0.887059023,0.843397212,0.851081616,0.849733903,0.857287462
SpiderScan.pauseScan,0.999907168,0.999895279,0.999882857,0.99992183,0.999928805,0.999900914,0.999922008,0.999946125,0.943684849
