func_name,k0_ires,k1_ires,k2_ires,k3_ires,k4_ires,k5_ires,k6_ires,k7_ires,k8_ires,k9_ires,k10_ires
StaticTypeCheckingVisitor.findInstanceOfNotReturnExpression,0.934995116,0.967435837,0.973027825,0.9548156,0.975616813,0.972686231,0.970890999,0.975728095,0.969959438,0.975728095,0.970890999
CollationElementIterator.getOffset,0.737529279,0.86303848,0.904273987,0.859696253,0.878507495,0.868077636,0.896524966,0.850786686,0.910811603,0.847462416,0.832630992
PostBasedAuthenticationMethodType.getPopupFlagLoginRequestMenuFactory,0.869646872,0.863416612,0.842337191,0.880822932,0.868912637,0.875192881,0.86323154,0.874934554,0.877464652,0.890656829,0.875812173
SLINKHDBSCANLinearMemory.run,0.750424313,0.772640765,0.808691502,0.965754481,0.793973088,0.807561994,0.803087652,0.824558556,0.749358416,0.794902265,0.923292756
ExecutorConfiguration.getFlatConfiguration,0.681580342,0.821251154,0.87618202,0.776088005,0.90730679,0.730964303,0.851709545,0.878444552,0.851688921,0.914471865,0.85677886
Scheduler.getInstance,0.984548809,0.802355587,0.984514415,0.985178731,0.984514356,0.984514415,0.984927595,0.984514415,0.984927595,0.984514415,0.984927595
CameraPlaneProjection.normalToPlane,0.738521237,0.981012404,0.981089354,0.991214695,0.986991942,0.98680681,0.986845434,0.986845434,0.983022034,0.98680681,0.986845434
NamespaceSupport.popContext,0.874302777,0.920319736,0.905875921,0.906996576,0.946749806,0.945754826,0.943939209,0.934971511,0.943939209,0.946749806,0.946660221
JsonBuilder.invokeMethod,0.675328067,0.713525116,0.765128255,0.853811256,0.814643383,0.737463415,0.824350357,0.772165358,0.737266004,0.712542415,0.855339229
IntTrieBuilder.allocDataBlock,0.879597458,0.910338938,0.951656699,0.991811339,0.933985174,0.964870811,0.962142706,0.95116353,0.947834551,0.981436431,0.963906944
CRDTMigrationTask.getLocalMemberListIndex,0.790425493,0.987015545,0.9879058,0.974038708,0.988464177,1,0.973988831,0.974545479,0.973988831,0.974545479,0.973988831
StructureDiagramGenerator.makeIonicBonds,0.942509152,0.940191746,0.941428185,0.948788341,0.930773795,0.946776807,0.9254691,0.93513453,0.938264668,0.946768999,0.949324369
Calendar.resolveFields,0.774037294,0.921245575,0.914791107,0.849428872,0.848175764,0.844703197,0.855640054,0.848118961,0.827749312,0.827749312,0.853581369
Field.formatDouble,0.907986886,0.894716561,0.909857631,0.893064424,0.898489416,0.867494464,0.905364394,0.912511408,0.897713482,0.905335009,0.911009014
Word07Writer.addText,0.921775196,0.951609075,0.945218921,0.921283129,0.948325276,0.94915998,0.949252486,0.949955165,0.949252486,0.94915998,0.971337199
CacheConfigReadOnly.getEvictionConfig,0.817907295,0.817779005,0.818021357,0.854761227,0.900164306,0.817753196,0.861691892,0.817779005,0.817779005,0.818021357,0.929943919
ImplicitHCountAtom.matches,0.967441085,0.953949332,0.944836795,0.805225225,0.874960303,0.997464001,0.86273402,0.857168794,0.857168794,0.857696295,0.857168794
CmsPublishEngine.abandonThread,0.852198303,0.873249233,0.898706019,0.942838653,0.909153521,0.921649694,0.915915668,0.938568056,0.9363783,0.907161713,0.912160397
UriCodec.validateSimple,0.968486404,0.992350042,0.992254734,0.987050283,0.992254734,0.992254734,0.992350042,0.991326213,0.992350042,0.992254734,0.992350042
CalibrationDetectorCircleRegularGrid.createLayout,0.893049018,0.833747149,0.834243417,0.835099015,0.834243417,0.83422333,0.833747149,0.833747149,0.833747149,0.834243417,0.833747149
VMath.normalizeColumns,0.936979085,0.97140801,0.979769051,0.963713551,0.936050475,0.980500162,0.979668736,0.979668736,0.936807334,0.978671432,0.979668736
VisOdomMonoPlaneInfinity.dropUnusedTracks,0.843421995,0.947101057,0.976430357,0.920024538,0.982822835,0.982822835,0.982922375,0.976390898,0.982822835,0.98263824,0.975635171
ConvertImage.average,0.865382295,0.882256031,0.882177114,0.882453171,0.8818326,0.88158083,0.882484257,0.882177114,0.882177114,0.881813228,0.881656647
JSVGUpdateSynchronizer.makeRunnerIfNeeded,0.67185652,0.693572104,0.718313456,0.696374111,0.711560726,0.651781917,0.65005815,0.653668642,0.71775806,0.6487903,0.700157881
MathUtils.binomial,0.953775083,0.907654822,0.953786671,0.917676151,0.953786671,0.953897595,0.953804255,0.954100311,0.917570353,0.953786671,0.917570353
AtomContainer.addBond,0.821953225,0.899578989,0.89994067,0.862877811,0.891147971,0.89994067,0.877444267,0.878074825,0.915576339,0.89994067,0.896134555
Validator.validateIpv6,0.983026831,0.999854445,0.999900758,0.999914395,1,0.999900758,1,1,1,0.999900758,0.999900699
JavacParser.moreStatementExpressions,0.924369349,0.939293981,0.93801719,0.955721634,0.949344099,0.948873937,0.952502787,0.953138232,0.949344099,0.953100801,0.949205637
DiSH.extractClusters,0.794239654,0.696019411,0.846298695,0.884694032,0.868610501,0.841812134,0.877753437,0.843162179,0.813300252,0.84011811,0.860985994
MigrationThread.stopNow,0.771050464,0.773290336,0.768237412,0.769383777,0.76815927,0.768060625,0.768434227,0.768434227,0.816593587,0.77219367,0.814524412
SynonymsLibrary.reload,0.680688236,0.754443586,0.874112546,0.857416838,0.869215786,0.86886251,0.874465883,0.874642491,0.869798481,0.871363223,0.757155716
EvaluateSquaredErrors.evaluateClustering,0.803153663,0.804585695,0.800490618,0.851532534,0.839316428,0.86944592,0.875194132,0.871376157,0.869864464,0.868858337,0.858004034
Text.utf8Length,0.847639354,0.876885653,0.876829386,0.845629816,0.877085805,0.876777351,0.877085805,0.876885653,0.876885653,0.877085805,0.876885653
FileHandler.openFiles,0.653251944,0.645091474,0.703193605,0.709643311,0.856317878,0.672678888,0.877834916,0.870491505,0.773000896,0.839587212,0.874335706
ElementKindVisitor6.visitVariable,0.925471331,0.99508965,0.99508965,0.994918038,0.994440675,0.994440675,0.955961466,0.995265424,0.995265424,0.995399117,0.995265424
ConfigUtils.getConfig,0.92540324,0.907645047,0.900810301,0.92213485,0.883055985,0.911571026,0.89289844,0.918971539,0.897083342,0.940394759,0.897083342
CompilationUnit.compile,0.740175762,0.800903261,0.753457129,0.756849422,0.782383263,0.783355236,0.761557043,0.763292313,0.777948678,0.819415748,0.796463311
AtomContainerManipulator.getIntersection,0.926616077,0.910507679,0.912118495,0.965817899,0.873074293,0.961386323,0.916235983,0.97470814,0.96142441,0.961386323,0.961386323
URLnaming.canonicalizeWrite,0.897179422,0.875497699,0.886810184,0.919656588,0.938833773,0.934418857,0.934995472,0.93834877,0.938373387,0.871895015,0.899365783
DaylightModel.aromaticElement,0.728735893,0.926358879,0.926358879,0.988740048,0.993250966,0.990395188,0.730210066,0.944916606,0.944916606,0.946227551,0.950369298
PackageSummaryBuilder.buildExceptionSummary,0.855808527,0.897965431,0.950652778,0.950200986,0.958874822,0.891221046,0.965965867,0.866986871,0.885156155,0.889423847,0.951391637
ReidSolomonCodes.computeSyndromes,0.909949096,0.921234369,0.932902098,0.932657404,0.888365507,0.927343786,0.923578978,0.930189192,0.921735644,0.929742098,0.930949211
DataBlockScanner.updateBlockInfo,0.899249401,0.888979554,0.920664012,0.909632181,0.864966691,0.942135453,0.854028583,0.862193167,0.9109779,0.860537052,0.860416174
GroovyScriptEngineImpl.compile,0.950942899,0.92036736,0.956499755,0.843487675,0.964725494,0.964725494,0.954336882,0.956722856,0.964725494,0.964725494,0.95794487
Locale.getDisplayScript,0.834602302,0.968688011,0.969023049,0.969478859,0.971746206,0.971947074,0.993599892,0.993599892,0.971947074,0.993478894,0.971746206
DetectChessboardCorners.computeFeatures,0.891524614,0.85693115,0.891237438,0.919079457,0.889884889,0.91650176,0.900420427,0.862666368,0.829959512,0.911831737,0.918414831
ParameterTabPanel.reportErrors,0.84426023,0.879625201,0.867017508,0.861708658,0.910992682,0.945757806,0.93344909,0.929370642,0.920867622,0.883944035,0.92746073
DateUtil.endOfWeek,0.778719872,0.988426745,0.967138171,0.968541678,0.966543019,0.967138171,0.967265487,0.967138171,0.967265487,0.967138171,0.967265487
UTF8.getBytes,0.820684332,0.896426439,0.856478512,0.828834582,0.796572506,0.810375571,0.797448993,0.809917927,0.86879611,0.888195157,0.916256547
GeometryTools.getBestAlignmentForLabel,0.697546471,0.896750987,0.89392525,0.894143401,0.893099487,0.892081141,0.847032845,0.898354232,0.85236448,0.893099487,0.893099487
